hazard_id,blackspot_id,source_authority,source_document,source_url,publication_year,state,district,highway_number,road_name,location_name,latitude,longitude,chainage_km,hazard_type,severity,fatal_crashes,fatalities,crash_count,primary_factors,countermeasures,confidence,provenance
MH-BS-047,MH-NG-18,MoRTH & Maharashtra Highway Police,MoRTH National Highway Blackspot Registry 2023,https://morth.nic.in,2023,Maharashtra,Nagpur,NH-44,Nagpur–Jabalpur Highway,Mansar S-Curve / Ramtek Phata (NH-44 North),21.401,79.255,KM 742.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,18,27,Heavy mining truck haulage entering blind high-speed curve on national transit freight corridor.,"Curve superelevation correction, steel beam crash barrier with solar delineators.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-048,MH-BH-01,Bhandara District Police & NHAI,Bhandara Highway Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Bhandara,NH-53,Nagpur–Raipur Highway,Kardi Phata / Wainganga Bridge Approach (Bhandara),21.164,79.658,KM 748.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,10,14,19,Narrow river bridge approach with heavy interstate steel freight overtaking on high embankments.,"Bridge duplication, high-friction surface dressing, solar blinkers.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-049,MH-GN-01,Gondia District Police & MoRTH,Gondia Road Safety Audit 2024,https://morth.nic.in,2024,Maharashtra,Gondia,NH-753,Tirora–Gondia State Highway,Kudwa Phata / Gondia Bypass,21.458,80.198,KM 48.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,11,15,Unsignalized industrial rail cargo access crossing two-lane state highway.,"Automatic barrier signals, high-mast illumination, rumble strips.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-050,MH-CD-02,Chandrapur District Police & NHAI,Chandrapur District Road Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Chandrapur,NH-930D / NH-353B,Nagpur–Chandrapur–Ballarpur Highway,Tadali MIDC / Coal Haulage Crossing (Chandrapur),19.985,79.224,KM 122.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,15,21,29,Dense coal dumper trucks crossing highway with severe black dust reducing night visibility.,"High-intensity LED street illumination, grade-separated flyover for coal dumpers, automated speed camera.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-051,MH-GD-01,Gadchiroli District Police & MoRTH,Gadchiroli Highway Safety Cell 2024,https://morth.nic.in,2024,Maharashtra,Gadchiroli,NH-353C,Chamorshi–Gadchiroli State Highway,Armori Forest Section / Wainganga Basin Curve,20.452,79.985,KM 34.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,7,9,13,Heavy iron ore dumper traffic on unlit 2-lane forest road with wild animal crossings.,"Wildlife underpasses, solar street lights, speed monitoring radar.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-052,MH-ST-02,NHAI & Maharashtra Highway Police,Satara District Highway Blackspot Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Satara,NH-48,Pune–Satara Highway,Khambatki Ghat S-Bend / Tunnel Approach,18.012,74.024,KM 872.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,24,32,45,Steep downhill gradient combined with blind reverse curve before old tunnel entry; freight brake failure.,"Construction of new 6-lane bypass twin-tunnel, truck escape ramp, speed cameras.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-053,MH-ST-07,Satara Rural Police & MoRTH,MoRTH National Highway Blackspot Registry 2024,https://morth.nic.in,2024,Maharashtra,Satara,NH-48,Pune–Satara Highway,Bhuinj Phata / Pachwad Junction,17.882,74.015,KM 895.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,21,High-speed highway cross-traffic with agricultural tractor and local tourist vehicles merging abruptly.,"Vehicular underpass (VUP) construction, service road connectivity, solar warning blinkers.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-054,MH-KL-03,Maharashtra Highway Traffic Police,Sangli Highway Safety Cell 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Sangli,NH-48,Satara–Kolhapur Highway,Peth Naka / Islampur Junction (Sangli/Kolhapur),17.054,74.241,KM 975.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,15,21,29,Congested intersection connecting Sangli state highway to NH-48 with heavy pedestrian sugarcane workers.,"Flyover construction, pedestrian subways, median closure.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-055,MH-KL-08,Kolhapur City Police & NHAI,Kolhapur Road Safety Committee Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Kolhapur,NH-48,Kolhapur City Entrance,Shiroli MIDC / Tawde Hotel Chowk (Kolhapur),16.745,74.278,KM 1018.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,19,26,37,"Massive bottleneck where industrial haulage trucks, city buses, and NH-48 through-traffic collide.","Multi-level vehicular flyover, dedicated service roads, automated red-light enforcement.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-056,MH-KL-14,Maharashtra Highway Traffic Police,Kolhapur Highway Police Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Kolhapur,NH-48,Maharashtra–Karnataka Border Corridor,Kagal Border Checkpost / MIDC Junction,16.578,74.318,KM 1042.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,14,18,26,Queue build-up of interstate freight carriers on active travel lanes during border tax clearance.,"Dedicated truck parking plaza away from carriageway, rumble strips, high-mast illumination.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-057,MH-SL-03,Solapur Rural Police & MoRTH,MoRTH National Highway Blackspot Registry 2024,https://morth.nic.in,2024,Maharashtra,Solapur,NH-65,Pune–Solapur Highway,Tembhurni Junction / Kurduvadi Phata,18.065,75.185,KM 162.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,16,22,31,Four-arm highway crossroads with high-speed car overtaking and sugar mill tractor conflicts.,"Vehicular overpass (VOP), traffic signals, high-intensity junction illumination.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-058,MH-SL-08,Maharashtra Highway Traffic Police,Solapur Highway Police Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Solapur,NH-65,Pune–Solapur Highway,Mohol Bypass / Pandharpur Road Junction,17.812,75.648,KM 215.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,18,24,Heavy pilgrimage Warkari bus traffic merging abruptly into 4-lane high-speed national arterial.,"Grade-separated junction, dynamic warning VMS signs, rumble strips.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-059,MH-SL-15,Solapur City Police,Solapur City Police Blackspot Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Solapur,NH-52 / NH-65,Solapur Ring Road,Solapur Outer Ring Road / Degaon Naka,17.689,75.874,KM 248.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,15,19,28,Interstate multi-axle trucks entering municipal ring road at high speed; severe pedestrian conflict.,"Roundabout modernization, pedestrian foot overbridge, speed limit radar enforcement.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-060,MH-KK-02,NHAI & Maharashtra Highway Police,NHAI NH-66 Safety Compendium 2024,https://morth.nic.in,2024,Maharashtra,Ratnagiri,NH-66,Mumbai–Goa Highway,Kashedi Ghat S-Curves / Tunnel Approach (Poladpur/Khed),17.915,73.452,KM 158.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,23,30,42,"Extreme mountain ghat hairpin bends with sheer cliff drops, severe monsoon landslides and brake failures.","Kashedi twin-tube tunnel completion, high-containment crash barriers, continuous optical delineators.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-061,MH-KK-07,Ratnagiri District Police,Ratnagiri Highway Safety Cell Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Ratnagiri,NH-66,Mumbai–Goa Highway,Sangameshwar S-Turn / Shastri River Bridge Approach,17.185,73.548,KM 262.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,22,Narrow bridge approach with blind curves on both sides and heavy intercity luxury sleeper bus traffic.,"New 4-lane bridge construction, speed-reducing chevron signs, hazard blinkers.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-062,MH-KK-12,Sindhudurg District Police & MoRTH,MoRTH National Highway Blackspot Registry 2024,https://morth.nic.in,2024,Maharashtra,Sindhudurg,NH-66,Mumbai–Goa Highway,Zarap Bypass / Kudal Junction (Sindhudurg),15.985,73.712,KM 428.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,14,19,High-speed tourist vehicles approaching unsignalized coastal village crossover intersections.,"Vehicular underpass, solar blinker beacons, speed camera deployment.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-063,MH-KK-18,Sindhudurg District Police & NHAI,Sindhudurg District Road Safety Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Sindhudurg,NH-66,Maharashtra–Goa Border Section,Sawantwadi Bypass / Insuli Checkpost,15.892,73.824,KM 462.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,12,16,Interstate night bus speed transitions approaching border toll and inspection bay.,"Transverse bar markings, high-mast illumination, dynamic speed radar display.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
