rank,city,zone_id,latitude,longitude,cluster_radius_km,target_month,target_start_date,time_window,is_peak_window,predicted_risk_tier,predicted_high_probability,actual_risk_tier,top_shap_factors,factor_contributions,retrieved_guidance,source_organization,source_title,source_url,retrieval_score,all_retrieved_chunks,retrieval_query
32,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,00:00 - 03:59 (Late Night),False,HIGH,0.7839,HIGH,Persistent accident history in prior 180 days (+0.459) | High cumulative historical crash density (+0.300) | Historically elevated severity index during this specific time shift (+0.220) | Cluster spatial footprint size (+0.215),lag_accidents_180d=0.459; lag_expanding_accidents=0.300; lag_zw_expanding_swri=0.220; max_r_km=0.215,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8415,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Maharashtra urban arterial road safety
33,Hyderabad,223,17.40203,78.29139,8.625,2025-01,2025-01-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7832,HIGH,Persistent accident history in prior 180 days (+0.386) | High cumulative historical crash density (+0.307) | Cluster spatial footprint size (+0.253) | Historically elevated severity index during this specific time shift (+0.147),lag_accidents_180d=0.386; lag_expanding_accidents=0.307; max_r_km=0.253; lag_zw_expanding_swri=0.147,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
34,Hyderabad,248,17.46615,78.48164,6.679,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.778,LOW,Persistent accident history in prior 180 days (+0.396) | High cumulative historical crash density (+0.208) | Cluster spatial footprint size (+0.204) | Historically elevated severity index during this specific time shift (+0.161),lag_accidents_180d=0.396; lag_expanding_accidents=0.208; max_r_km=0.204; lag_zw_expanding_swri=0.161,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
35,Hyderabad,223,17.40203,78.29139,8.625,2025-01,2025-01-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7762,HIGH,Cluster spatial footprint size (+0.390) | Persistent accident history in prior 180 days (+0.368) | High cumulative historical crash density (+0.289) | Elevated historical fatal accident ratio (+0.031),max_r_km=0.390; lag_accidents_180d=0.368; lag_expanding_accidents=0.289; lag_expanding_fatal_rate=0.031,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8239,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",road safety large zone area treatment India. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
36,Chennai,138,13.14963,80.13139,4.294,2025-01,2025-01-01,00:00 - 03:59 (Late Night),False,HIGH,0.7752,LOW,Persistent accident history in prior 180 days (+0.445) | Historically elevated severity index during this specific time shift (+0.286) | Cluster spatial footprint size (+0.198) | High cumulative historical crash density (+0.170),lag_accidents_180d=0.445; lag_zw_expanding_swri=0.286; max_r_km=0.198; lag_expanding_accidents=0.170,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8268,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
37,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7736,LOW,Historically elevated severity index during this specific time shift (+0.504) | Persistent accident history in prior 180 days (+0.442) | High cumulative historical crash density (+0.317) | Cluster spatial footprint size (+0.187),lag_zw_expanding_swri=0.504; lag_accidents_180d=0.442; lag_expanding_accidents=0.317; max_r_km=0.187,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8324,"WHO-IND-001-02, MORTH-ATTR-003, IRAD-001",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
38,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7729,LOW,Persistent accident history in prior 180 days (+0.424) | Historically elevated severity index during this specific time shift (+0.356) | High cumulative historical crash density (+0.310) | Cluster spatial footprint size (+0.175),lag_accidents_180d=0.424; lag_zw_expanding_swri=0.356; lag_expanding_accidents=0.310; max_r_km=0.175,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
39,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7727,HIGH,High cumulative historical crash density (+0.464) | Persistent accident history in prior 180 days (+0.430) | Cluster spatial footprint size (+0.233) | Historically elevated severity index during this specific time shift (+0.154),lag_expanding_accidents=0.464; lag_accidents_180d=0.430; max_r_km=0.233; lag_zw_expanding_swri=0.154,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8448,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
40,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,20:00 - 23:59 (Night),False,HIGH,0.7715,MEDIUM,Persistent accident history in prior 180 days (+0.475) | High cumulative historical crash density (+0.293) | Cluster spatial footprint size (+0.243) | Historically elevated severity index during this specific time shift (+0.216),lag_accidents_180d=0.475; lag_expanding_accidents=0.293; max_r_km=0.243; lag_zw_expanding_swri=0.216,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8387,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
41,Chandigarh,97,30.61774,76.77995,4.127,2025-03,2025-03-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7714,HIGH,Persistent accident history in prior 180 days (+0.430) | Historically elevated severity index during this specific time shift (+0.375) | High cumulative historical crash density (+0.274) | Cluster spatial footprint size (+0.182),lag_accidents_180d=0.430; lag_zw_expanding_swri=0.375; lag_expanding_accidents=0.274; max_r_km=0.182,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
42,Hyderabad,248,17.46615,78.48164,6.679,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7704,LOW,Persistent accident history in prior 180 days (+0.345) | Cluster spatial footprint size (+0.189) | High cumulative historical crash density (+0.171) | Accelerating short-term crash trend (+0.148),lag_accidents_180d=0.345; max_r_km=0.189; lag_expanding_accidents=0.171; lag_trend_90d_vs_180d=0.148,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8261,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Hyderabad urban corridor road safety
43,Pune,363,18.49661,73.88325,7.781,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.7699,HIGH,Persistent accident history in prior 180 days (+0.452) | Historically elevated severity index during this specific time shift (+0.364) | Cluster spatial footprint size (+0.292) | High cumulative historical crash density (+0.276),lag_accidents_180d=0.452; lag_zw_expanding_swri=0.364; max_r_km=0.292; lag_expanding_accidents=0.276,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8363,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Maharashtra urban arterial road safety
44,Pune,363,18.49661,73.88325,7.781,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7696,LOW,Persistent accident history in prior 180 days (+0.459) | Historically elevated severity index during this specific time shift (+0.357) | High cumulative historical crash density (+0.288) | Cluster spatial footprint size (+0.200),lag_accidents_180d=0.459; lag_zw_expanding_swri=0.357; lag_expanding_accidents=0.288; max_r_km=0.200,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8379,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Maharashtra urban arterial road safety
45,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.7689,HIGH,Persistent accident history in prior 180 days (+0.457) | Historically elevated severity index during this specific time shift (+0.364) | High cumulative historical crash density (+0.262) | Cluster spatial footprint size (+0.189),lag_accidents_180d=0.457; lag_zw_expanding_swri=0.364; lag_expanding_accidents=0.262; max_r_km=0.189,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
46,Kolkata,273,22.56352,88.32345,4.741,2025-04,2025-04-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7664,LOW,Persistent accident history in prior 180 days (+0.368) | Historically elevated severity index during this specific time shift (+0.267) | Cluster spatial footprint size (+0.186) | High cumulative historical crash density (+0.185),lag_accidents_180d=0.368; lag_zw_expanding_swri=0.267; max_r_km=0.186; lag_expanding_accidents=0.185,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8344,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. peak hour traffic congestion road safety India. Kolkata road safety pedestrian
47,Hyderabad,248,17.46615,78.48164,6.679,2025-02,2025-02-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7624,MEDIUM,Persistent accident history in prior 180 days (+0.388) | High cumulative historical crash density (+0.202) | Cluster spatial footprint size (+0.200) | Historically elevated severity index during this specific time shift (+0.158),lag_accidents_180d=0.388; lag_expanding_accidents=0.202; max_r_km=0.200; lag_zw_expanding_swri=0.158,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Hyderabad urban corridor road safety
48,Hyderabad,223,17.40203,78.29139,8.625,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.7607,MEDIUM,High cumulative historical crash density (+0.448) | Persistent accident history in prior 180 days (+0.440) | Cluster spatial footprint size (+0.358) | Elevated accident volume in prior 90 days (+0.070),lag_expanding_accidents=0.448; lag_accidents_180d=0.440; max_r_km=0.358; lag_accidents_90d=0.070,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8403,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
49,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7594,MEDIUM,High cumulative historical crash density (+0.509) | Persistent accident history in prior 180 days (+0.457) | Historically elevated severity index during this specific time shift (+0.240) | Cluster spatial footprint size (+0.193),lag_expanding_accidents=0.509; lag_accidents_180d=0.457; lag_zw_expanding_swri=0.240; max_r_km=0.193,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8491,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. Chandigarh planned city road safety
50,Kolkata,273,22.56352,88.32345,4.741,2025-02,2025-02-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.756,MEDIUM,Persistent accident history in prior 180 days (+0.361) | Historically elevated severity index during this specific time shift (+0.271) | High cumulative historical crash density (+0.224) | Cluster spatial footprint size (+0.214),lag_accidents_180d=0.361; lag_zw_expanding_swri=0.271; lag_expanding_accidents=0.224; max_r_km=0.214,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8386,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Kolkata road safety pedestrian
51,Hyderabad,248,17.46615,78.48164,6.679,2025-04,2025-04-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7543,MEDIUM,Persistent accident history in prior 180 days (+0.343) | Cluster spatial footprint size (+0.187) | Accelerating short-term crash trend (+0.170) | High cumulative historical crash density (+0.147),lag_accidents_180d=0.343; max_r_km=0.187; lag_trend_90d_vs_180d=0.170; lag_expanding_accidents=0.147,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8551,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. increasing trend road accidents emerging risk escalation India response. Hyderabad urban corridor road safety
52,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7538,LOW,Persistent accident history in prior 180 days (+0.434) | High cumulative historical crash density (+0.434) | Cluster spatial footprint size (+0.190) | High recent accident surge in prior 30 days (+0.154),lag_accidents_180d=0.434; lag_expanding_accidents=0.434; max_r_km=0.190; lag_accidents_30d=0.154,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8312,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Chandigarh planned city road safety
53,Chennai,138,13.14963,80.13139,4.294,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7527,LOW,Persistent accident history in prior 180 days (+0.406) | Historically elevated severity index during this specific time shift (+0.235) | Cluster spatial footprint size (+0.181) | Elevated accident volume in prior 90 days (+0.072),lag_accidents_180d=0.406; lag_zw_expanding_swri=0.235; max_r_km=0.181; lag_accidents_90d=0.072,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8268,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
54,Hyderabad,248,17.46615,78.48164,6.679,2025-03,2025-03-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7521,LOW,Persistent accident history in prior 180 days (+0.343) | High cumulative historical crash density (+0.239) | Cluster spatial footprint size (+0.224) | Historically elevated severity index during this specific time shift (+0.152),lag_accidents_180d=0.343; lag_expanding_accidents=0.239; max_r_km=0.224; lag_zw_expanding_swri=0.152,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
55,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.752,LOW,Historically elevated severity index during this specific time shift (+0.520) | Persistent accident history in prior 180 days (+0.462) | High cumulative historical crash density (+0.300) | Cluster spatial footprint size (+0.202),lag_zw_expanding_swri=0.520; lag_accidents_180d=0.462; lag_expanding_accidents=0.300; max_r_km=0.202,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,Night-time and Poor-Visibility Road Safety Risk,https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8254,"WHO-GLB-RTI-03, WHO-IND-001-02, IRAD-001",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Chandigarh planned city road safety
56,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,20:00 - 23:59 (Night),False,HIGH,0.7514,LOW,Persistent accident history in prior 180 days (+0.455) | Historically elevated severity index during this specific time shift (+0.416) | High cumulative historical crash density (+0.293) | Cluster spatial footprint size (+0.243),lag_accidents_180d=0.455; lag_zw_expanding_swri=0.416; lag_expanding_accidents=0.293; max_r_km=0.243,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.835,"WHO-IND-001-02, MORTH-ATTR-003, IRAD-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
57,Pune,379,18.60046,73.77091,4.913,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7493,LOW,Persistent accident history in prior 180 days (+0.410) | High cumulative historical crash density (+0.253) | Historically elevated severity index during this specific time shift (+0.202) | Cluster spatial footprint size (+0.166),lag_accidents_180d=0.410; lag_expanding_accidents=0.253; lag_zw_expanding_swri=0.202; max_r_km=0.166,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8415,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Maharashtra urban arterial road safety
58,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7462,LOW,High cumulative historical crash density (+0.476) | Persistent accident history in prior 180 days (+0.434) | Cluster spatial footprint size (+0.344) | Elevated accident volume in prior 90 days (+0.053),lag_expanding_accidents=0.476; lag_accidents_180d=0.434; max_r_km=0.344; lag_accidents_90d=0.053,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8403,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
59,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,00:00 - 03:59 (Late Night),False,HIGH,0.7447,LOW,High cumulative historical crash density (+0.469) | Persistent accident history in prior 180 days (+0.430) | Cluster spatial footprint size (+0.321) | Elevated accident volume in prior 90 days (+0.070),lag_expanding_accidents=0.469; lag_accidents_180d=0.430; max_r_km=0.321; lag_accidents_90d=0.070,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8403,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
60,Kolkata,273,22.56352,88.32345,4.741,2025-01,2025-01-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7432,HIGH,Persistent accident history in prior 180 days (+0.362) | Historically elevated severity index during this specific time shift (+0.252) | Cluster spatial footprint size (+0.183) | High cumulative historical crash density (+0.181),lag_accidents_180d=0.362; lag_zw_expanding_swri=0.252; max_r_km=0.183; lag_expanding_accidents=0.181,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8344,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. peak hour traffic congestion road safety India. Kolkata road safety pedestrian
61,Hyderabad,233,17.27767,78.27841,7.363,2025-03,2025-03-01,00:00 - 03:59 (Late Night),False,HIGH,0.7416,LOW,Persistent accident history in prior 180 days (+0.412) | Cluster spatial footprint size (+0.176) | Historically elevated severity index during this specific time shift (+0.117) | High cumulative historical crash density (+0.085),lag_accidents_180d=0.412; max_r_km=0.176; lag_zw_expanding_swri=0.117; lag_expanding_accidents=0.085,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.822,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Hyderabad urban corridor road safety
62,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7414,LOW,Persistent accident history in prior 180 days (+0.442) | Historically elevated severity index during this specific time shift (+0.418) | High cumulative historical crash density (+0.298) | Cluster spatial footprint size (+0.232),lag_accidents_180d=0.442; lag_zw_expanding_swri=0.418; lag_expanding_accidents=0.298; max_r_km=0.232,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.839,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Bangalore urban traffic management road safety
63,Hyderabad,248,17.46615,78.48164,6.679,2025-03,2025-03-01,20:00 - 23:59 (Night),False,HIGH,0.741,MEDIUM,Persistent accident history in prior 180 days (+0.381) | High cumulative historical crash density (+0.220) | Cluster spatial footprint size (+0.213) | Historically elevated severity index during this specific time shift (+0.166),lag_accidents_180d=0.381; lag_expanding_accidents=0.220; max_r_km=0.213; lag_zw_expanding_swri=0.166,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8311,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
