zone_id,target_month,city,time_window,predicted_high_probability,rag_query_used,retrieved_rank,chunk_id,title,source_organization,topic,source_url,relevance_score,content_excerpt
248,2025-04,Hyderabad,20:00 - 23:59 (Night),0.8131,peak hour traffic congestion road safety India. Hyderabad urban corridor road safety,3,IRC-SP55-001,IRC:SP-55 — Urban Road Safety Measures,Indian Roads Congress (IRC),Safety measures for urban road intersections and high-risk locations,https://irc.nic.in/,0.7959,"NOTE: IRC:SP-55 guidelines for urban road safety. Full text procurable through IRC. Content here summarises publicly known provisions.

IRC:SP-55 addresses safety at urban roads and intersections. Key guidance elements:

Intersection safety:
- Channelisation of turning movements to reduce conflict points
- Provision of traffic signals with dedicated pedestrian phases at high-volume junctions
- Vis"
51,2025-02,Bangalore,04:00 - 07:59 (Early Morning),0.8125,night time road safety darkness driving India. Bangalore urban traffic management road safety,1,WHO-GLB-RTI-03,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,"Night-time road safety, visibility, and lighting",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8781,"Night-time driving is associated with significantly elevated crash risk due to reduced visibility, driver fatigue, and higher prevalence of impaired driving. Crash risk per vehicle-km driven is approximately three times higher at night than during the day.

Effective countermeasures for night-time road safety include: improved road lighting at high-risk locations (junctions, pedestrian crossings, "
51,2025-02,Bangalore,04:00 - 07:59 (Early Morning),0.8125,night time road safety darkness driving India. Bangalore urban traffic management road safety,2,WHO-GLB-RTI-04,Road Safety During Adverse Weather Conditions,World Health Organization,"Weather-related road safety — rain, fog, reduced visibility",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.81,"Adverse weather conditions — rain, fog, and reduced visibility — substantially increase crash risk. Wet road surfaces reduce tyre traction and extend braking distances. Fog and heavy rain reduce driver reaction time by limiting forward visibility.

Recommended safety measures during adverse weather: mandatory speed reduction advisories and variable speed limit signs; increased visibility through r"
51,2025-02,Bangalore,04:00 - 07:59 (Early Morning),0.8125,night time road safety darkness driving India. Bangalore urban traffic management road safety,3,WHO-IND-001-02,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),"Risk factors for road crashes in India — speeding, alcohol, infrastructure",https://www.who.int/india/health-topics/road-safety,0.7977,"Many road crashes are a result of faulty road design and engineering. Non-adherence to legislation is a major reason for road crashes. While over-speeding remains the most common reason for road fatalities in India, other contributing factors include: driving under the influence of alcohol; driving on the wrong side of the road; jumping red lights; using mobile phones while driving; not wearing a "
51,2025-02,Bangalore,00:00 - 03:59 (Late Night),0.8124,night time road safety darkness driving India. Bangalore urban traffic management road safety,1,WHO-GLB-RTI-03,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,"Night-time road safety, visibility, and lighting",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8781,"Night-time driving is associated with significantly elevated crash risk due to reduced visibility, driver fatigue, and higher prevalence of impaired driving. Crash risk per vehicle-km driven is approximately three times higher at night than during the day.

Effective countermeasures for night-time road safety include: improved road lighting at high-risk locations (junctions, pedestrian crossings, "
51,2025-02,Bangalore,00:00 - 03:59 (Late Night),0.8124,night time road safety darkness driving India. Bangalore urban traffic management road safety,2,WHO-GLB-RTI-04,Road Safety During Adverse Weather Conditions,World Health Organization,"Weather-related road safety — rain, fog, reduced visibility",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.81,"Adverse weather conditions — rain, fog, and reduced visibility — substantially increase crash risk. Wet road surfaces reduce tyre traction and extend braking distances. Fog and heavy rain reduce driver reaction time by limiting forward visibility.

Recommended safety measures during adverse weather: mandatory speed reduction advisories and variable speed limit signs; increased visibility through r"
51,2025-02,Bangalore,00:00 - 03:59 (Late Night),0.8124,night time road safety darkness driving India. Bangalore urban traffic management road safety,3,WHO-IND-001-02,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),"Risk factors for road crashes in India — speeding, alcohol, infrastructure",https://www.who.int/india/health-topics/road-safety,0.7977,"Many road crashes are a result of faulty road design and engineering. Non-adherence to legislation is a major reason for road crashes. While over-speeding remains the most common reason for road fatalities in India, other contributing factors include: driving under the influence of alcohol; driving on the wrong side of the road; jumping red lights; using mobile phones while driving; not wearing a "
363,2025-03,Pune,12:00 - 15:59 (Afternoon),0.8112,Maharashtra urban arterial road safety,1,WHO-IND-001-02,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),"Risk factors for road crashes in India — speeding, alcohol, infrastructure",https://www.who.int/india/health-topics/road-safety,0.8095,"Many road crashes are a result of faulty road design and engineering. Non-adherence to legislation is a major reason for road crashes. While over-speeding remains the most common reason for road fatalities in India, other contributing factors include: driving under the influence of alcohol; driving on the wrong side of the road; jumping red lights; using mobile phones while driving; not wearing a "
363,2025-03,Pune,12:00 - 15:59 (Afternoon),0.8112,Maharashtra urban arterial road safety,2,WHO-IND-RS-WEB-001,Road Safety — India,World Health Organization (WHO India),"Overview of road safety in India — risk factors, burden, preventive approach",https://www.who.int/india/health-topics/road-safety,0.7952,"Road safety - India
Skip to main content
Road safety
Estimates suggest that India lost approximately 300 000 lives due to road crashes in  the year 2016. Upto 50 times this number suffered injuries, with some of them developing disabilities. A majority of those dying on the roads are pedestrians, cyclists and motorcyclists. According to government data, young people are more vulnerable, especially"
363,2025-03,Pune,12:00 - 15:59 (Afternoon),0.8112,Maharashtra urban arterial road safety,3,IRC-SP55-001,IRC:SP-55 — Urban Road Safety Measures,Indian Roads Congress (IRC),Safety measures for urban road intersections and high-risk locations,https://irc.nic.in/,0.7864,"NOTE: IRC:SP-55 guidelines for urban road safety. Full text procurable through IRC. Content here summarises publicly known provisions.

IRC:SP-55 addresses safety at urban roads and intersections. Key guidance elements:

Intersection safety:
- Channelisation of turning movements to reduce conflict points
- Provision of traffic signals with dedicated pedestrian phases at high-volume junctions
- Vis"
223,2025-04,Hyderabad,04:00 - 07:59 (Early Morning),0.8075,night time road safety darkness driving India. Hyderabad urban corridor road safety,1,WHO-GLB-RTI-03,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,"Night-time road safety, visibility, and lighting",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8688,"Night-time driving is associated with significantly elevated crash risk due to reduced visibility, driver fatigue, and higher prevalence of impaired driving. Crash risk per vehicle-km driven is approximately three times higher at night than during the day.

Effective countermeasures for night-time road safety include: improved road lighting at high-risk locations (junctions, pedestrian crossings, "
223,2025-04,Hyderabad,04:00 - 07:59 (Early Morning),0.8075,night time road safety darkness driving India. Hyderabad urban corridor road safety,2,WHO-GLB-RTI-04,Road Safety During Adverse Weather Conditions,World Health Organization,"Weather-related road safety — rain, fog, reduced visibility",https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.7994,"Adverse weather conditions — rain, fog, and reduced visibility — substantially increase crash risk. Wet road surfaces reduce tyre traction and extend braking distances. Fog and heavy rain reduce driver reaction time by limiting forward visibility.

Recommended safety measures during adverse weather: mandatory speed reduction advisories and variable speed limit signs; increased visibility through r"
223,2025-04,Hyderabad,04:00 - 07:59 (Early Morning),0.8075,night time road safety darkness driving India. Hyderabad urban corridor road safety,3,IRC-SP55-001,IRC:SP-55 — Urban Road Safety Measures,Indian Roads Congress (IRC),Safety measures for urban road intersections and high-risk locations,https://irc.nic.in/,0.7943,"NOTE: IRC:SP-55 guidelines for urban road safety. Full text procurable through IRC. Content here summarises publicly known provisions.

IRC:SP-55 addresses safety at urban roads and intersections. Key guidance elements:

Intersection safety:
- Channelisation of turning movements to reduce conflict points
- Provision of traffic signals with dedicated pedestrian phases at high-volume junctions
- Vis"
