rank,target_month,city,zone_id,time_window_label,predicted_high_probability,predicted_risk_tier,actual_risk_tier,contributing_factor_1,contributing_factor_2,contributing_factor_3,contributing_factor_4,rank_id
83,2025-01,Pune,363,08:00 - 11:59 (Morning Rush),0.704,HIGH,MEDIUM,"High cumulative historical crash density (value: 256.00, impact: +0.496)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.449)","Cluster spatial footprint size (value: 7.78, impact: +0.325)","Elevated accident volume in prior 90 days (value: 19.00, impact: +0.070)",83
84,2025-03,Chennai,138,04:00 - 07:59 (Early Morning),0.7029,HIGH,HIGH,"Historically elevated severity index during this specific time shift (value: 235.00, impact: +0.568)","Persistent accident history in prior 180 days (value: 35.00, impact: +0.398)","Cluster spatial footprint size (value: 4.29, impact: +0.187)","High cumulative historical crash density (value: 173.00, impact: +0.154)",84
85,2025-02,Hyderabad,223,04:00 - 07:59 (Early Morning),0.7017,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.448)","High cumulative historical crash density (value: 219.00, impact: +0.443)","Cluster spatial footprint size (value: 8.63, impact: +0.239)","Historically elevated severity index during this specific time shift (value: 200.00, impact: +0.096)",85
86,2025-02,Chandigarh,97,12:00 - 15:59 (Afternoon),0.7,HIGH,LOW,"High cumulative historical crash density (value: 219.00, impact: +0.484)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.409)","Cluster spatial footprint size (value: 4.13, impact: +0.167)","Elevated historical fatal accident ratio (value: 0.13, impact: +0.097)",86
87,2025-03,Hyderabad,223,20:00 - 23:59 (Night),0.6999,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.451)","High cumulative historical crash density (value: 224.00, impact: +0.268)","Cluster spatial footprint size (value: 8.63, impact: +0.223)","Historically elevated severity index during this specific time shift (value: 246.00, impact: +0.220)",87
88,2025-02,Pune,363,08:00 - 11:59 (Morning Rush),0.6998,HIGH,LOW,"High cumulative historical crash density (value: 265.00, impact: +0.466)","Cluster spatial footprint size (value: 7.78, impact: +0.440)","Persistent accident history in prior 180 days (value: 41.00, impact: +0.437)","High recent accident surge in prior 30 days (value: 9.00, impact: +0.065)",88
89,2025-04,Hyderabad,233,08:00 - 11:59 (Morning Rush),0.6998,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.331)","Cluster spatial footprint size (value: 7.36, impact: +0.200)","Historically elevated severity index during this specific time shift (value: 189.00, impact: +0.197)","High cumulative historical crash density (value: 208.00, impact: +0.124)",89
90,2025-04,Hyderabad,240,04:00 - 07:59 (Early Morning),0.6989,HIGH,LOW,"Persistent accident history in prior 180 days (value: 21.00, impact: +0.363)","Cluster spatial footprint size (value: 6.21, impact: +0.215)","High cumulative historical crash density (value: 131.00, impact: +0.196)","Historically elevated severity index during this specific time shift (value: 194.00, impact: +0.144)",90
91,2025-02,Hyderabad,233,16:00 - 19:59 (Evening Rush),0.697,HIGH,LOW,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.391)","High cumulative historical crash density (value: 203.00, impact: +0.339)","Cluster spatial footprint size (value: 7.36, impact: +0.177)","Historically elevated severity index during this specific time shift (value: 172.00, impact: +0.129)",91
92,2025-01,Mumbai,319,04:00 - 07:59 (Early Morning),0.696,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 46.00, impact: +0.398)","Historically elevated severity index during this specific time shift (value: 260.00, impact: +0.331)","High cumulative historical crash density (value: 262.00, impact: +0.299)","Cluster spatial footprint size (value: 10.25, impact: +0.245)",92
93,2025-04,Hyderabad,233,12:00 - 15:59 (Afternoon),0.6953,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.344)","Historically elevated severity index during this specific time shift (value: 223.00, impact: +0.332)","Cluster spatial footprint size (value: 7.36, impact: +0.202)","High recent accident surge in prior 30 days (value: 3.00, impact: +0.046)",93
94,2025-01,Hyderabad,248,04:00 - 07:59 (Early Morning),0.6948,HIGH,LOW,"Persistent accident history in prior 180 days (value: 33.00, impact: +0.403)","High cumulative historical crash density (value: 169.00, impact: +0.206)","Cluster spatial footprint size (value: 6.68, impact: +0.206)","Historically elevated severity index during this specific time shift (value: 199.00, impact: +0.100)",94
95,2025-03,Bangalore,51,00:00 - 03:59 (Late Night),0.6944,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.471)","Cluster spatial footprint size (value: 7.85, impact: +0.244)","Historically elevated severity index during this specific time shift (value: 219.00, impact: +0.224)","High cumulative historical crash density (value: 258.00, impact: +0.211)",95
96,2025-03,Bangalore,51,04:00 - 07:59 (Early Morning),0.6941,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.470)","Historically elevated severity index during this specific time shift (value: 262.00, impact: +0.361)","High cumulative historical crash density (value: 258.00, impact: +0.270)","Cluster spatial footprint size (value: 7.85, impact: +0.244)",96
97,2025-02,Hyderabad,248,20:00 - 23:59 (Night),0.6935,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.392)","Historically elevated severity index during this specific time shift (value: 184.00, impact: +0.202)","High cumulative historical crash density (value: 172.00, impact: +0.201)","Cluster spatial footprint size (value: 6.68, impact: +0.195)",97
98,2025-02,Pune,363,04:00 - 07:59 (Early Morning),0.6911,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.452)","Historically elevated severity index during this specific time shift (value: 289.00, impact: +0.377)","Cluster spatial footprint size (value: 7.78, impact: +0.299)","High cumulative historical crash density (value: 265.00, impact: +0.270)",98
99,2025-03,Hyderabad,233,08:00 - 11:59 (Morning Rush),0.6871,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.396)","Historically elevated severity index during this specific time shift (value: 186.00, impact: +0.200)","Cluster spatial footprint size (value: 7.36, impact: +0.169)","High cumulative historical crash density (value: 205.00, impact: +0.134)",99
100,2025-02,Kolkata,283,08:00 - 11:59 (Morning Rush),0.6847,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 21.00, impact: +0.438)","High cumulative historical crash density (value: 138.00, impact: +0.258)","Cluster spatial footprint size (value: 4.91, impact: +0.180)","Historically elevated severity index during this specific time shift (value: 178.00, impact: +0.114)",100
